k1,k2,S(Add^5 k1 k2),R1,R2
1.0,1.0,1.0,0.0,0.0
1.0,2.0,1.0,0.0,0.2
1.0,3.0,1.0,0.0,0.31699250014423125
1.0,4.0,1.0,0.0,0.4
1.0,5.0,1.0,0.0,0.4643856189774725
1.0,6.0,1.0,0.0,0.5169925001442313
1.0,7.0,1.0,0.0,0.5614709844115209
1.0,8.0,1.0,0.0,0.6
1.0,9.0,1.0,0.0,0.6339850002884625
1.0,10.0,1.0,0.0,0.6643856189774725
1.0,11.0,1.0,0.0,0.6918863237274595
1.0,12.0,1.0,0.0,0.7169925001442313
1.0,13.0,1.0,0.0,0.7400879436282184
1.0,14.0,1.0,0.0,0.7614709844115207
1.0,15.0,1.0,0.0,0.7813781191217037
1.0,16.0,1.0,0.0,0.8
1.0,17.0,1.0,0.0,0.817492568250068
1.0,18.0,1.0,0.0,0.8339850002884625
1.0,19.0,1.0,0.0,0.8495855026887171
1.0,20.0,1.0,0.0,0.8643856189774726
1.0,21.0,1.0,0.0,0.8784634845557522
1.0,22.0,1.0,0.0,0.8918863237274595
1.0,23.0,1.0,0.0,0.9047123912114026
1.0,24.0,1.0,0.0,0.9169925001442314
1.0,25.0,1.0,0.0,0.9287712379549448
1.0,26.0,1.0,0.0,0.9400879436282186
1.0,27.0,1.0,0.0,0.9509775004326938
1.0,28.0,1.0,0.0,0.9614709844115208
1.0,29.0,1.0,0.0,0.9715961990255144
1.0,30.0,1.0,0.0,0.9813781191217036
1.0,31.0,1.0,0.0,0.9908392620773752
1.0,32.0,1.0,0.0,1.0
2.0,1.0,1.0,0.2,0.0
2.0,2.0,1.0,0.2,0.2
2.0,3.0,1.0,0.2,0.31699250014423125
2.0,4.0,1.0,0.2,0.4
2.0,5.0,1.0,0.2,0.4643856189774725
2.0,6.0,1.0,0.2,0.5169925001442313
2.0,7.0,1.0,0.2,0.5614709844115209
2.0,8.0,1.0,0.2,0.6
2.0,9.0,1.0,0.2,0.6339850002884625
2.0,10.0,1.0,0.2,0.6643856189774725
2.0,11.0,1.0,0.2,0.6918863237274595
2.0,12.0,1.0,0.2,0.7169925001442313
2.0,13.0,1.0,0.2,0.7400879436282184
2.0,14.0,1.0,0.2,0.7614709844115207
2.0,15.0,1.0,0.2,0.7813781191217037
2.0,16.0,1.0,0.2,0.8
2.0,17.0,1.0,0.2,0.817492568250068
2.0,18.0,1.0,0.2,0.8339850002884625
2.0,19.0,1.0,0.2,0.8495855026887171
2.0,20.0,1.0,0.2,0.8643856189774726
2.0,21.0,1.0,0.2,0.8784634845557522
2.0,22.0,1.0,0.2,0.8918863237274595
2.0,23.0,1.0,0.2,0.9047123912114026
2.0,24.0,1.0,0.2,0.9169925001442314
2.0,25.0,1.0,0.2,0.9287712379549448
2.0,26.0,1.0,0.2,0.9400879436282186
2.0,27.0,1.0,0.2,0.9509775004326938
2.0,28.0,1.0,0.2,0.9614709844115208
2.0,29.0,1.0,0.2,0.9715961990255144
2.0,30.0,1.0,0.2,0.9813781191217036
2.0,31.0,1.0,0.2,0.9908392620773752
2.0,32.0,0.9843749999999996,0.2,1.0
3.0,1.0,1.0,0.31699250014423125,0.0
3.0,2.0,1.0,0.31699250014423125,0.2
3.0,3.0,1.0,0.31699250014423125,0.31699250014423125
3.0,4.0,1.0,0.31699250014423125,0.4
3.0,5.0,1.0,0.31699250014423125,0.4643856189774725
3.0,6.0,1.0,0.31699250014423125,0.5169925001442313
3.0,7.0,1.0,0.31699250014423125,0.5614709844115209
3.0,8.0,1.0,0.31699250014423125,0.6
3.0,9.0,1.0,0.31699250014423125,0.6339850002884625
3.0,10.0,1.0,0.31699250014423125,0.6643856189774725
3.0,11.0,1.0,0.31699250014423125,0.6918863237274595
3.0,12.0,1.0,0.31699250014423125,0.7169925001442313
3.0,13.0,1.0,0.31699250014423125,0.7400879436282184
3.0,14.0,1.0,0.31699250014423125,0.7614709844115207
3.0,15.0,1.0,0.31699250014423125,0.7813781191217037
3.0,16.0,1.0,0.31699250014423125,0.8
3.0,17.0,1.0,0.31699250014423125,0.817492568250068
3.0,18.0,1.0,0.31699250014423125,0.8339850002884625
3.0,19.0,1.0,0.31699250014423125,0.8495855026887171
3.0,20.0,1.0,0.31699250014423125,0.8643856189774726
3.0,21.0,1.0,0.31699250014423125,0.8784634845557522
3.0,22.0,1.0,0.31699250014423125,0.8918863237274595
3.0,23.0,1.0,0.31699250014423125,0.9047123912114026
3.0,24.0,1.0,0.31699250014423125,0.9169925001442314
3.0,25.0,1.0,0.31699250014423125,0.9287712379549448
3.0,26.0,1.0,0.31699250014423125,0.9400879436282186
3.0,27.0,1.0,0.31699250014423125,0.9509775004326938
3.0,28.0,1.0,0.31699250014423125,0.9614709844115208
3.0,29.0,1.0,0.31699250014423125,0.9715961990255144
3.0,30.0,0.9888888888888888,0.31699250014423125,0.9813781191217036
3.0,31.0,0.956989247311828,0.31699250014423125,0.9908392620773752
3.0,32.0,0.9270833333333338,0.31699250014423125,1.0
4.0,1.0,1.0,0.4,0.0
4.0,2.0,1.0,0.4,0.2
4.0,3.0,1.0,0.4,0.31699250014423125
4.0,4.0,1.0,0.4,0.4
4.0,5.0,1.0,0.4,0.4643856189774725
4.0,6.0,1.0,0.4,0.5169925001442313
4.0,7.0,1.0,0.4,0.5614709844115209
4.0,8.0,1.0,0.4,0.6
4.0,9.0,1.0,0.4,0.6339850002884625
