k1,k2,S(Add^2 k1 k2),R1,R2
1,1,1.0,0.0,0.0
1,2,1.0,0.0,0.5
1,3,1.0,0.0,0.7924812503605781
1,4,1.0,0.0,1.0
2,1,1.0,0.5,0.0
2,2,1.0,0.5,0.5
2,3,1.0,0.5,0.7924812503605781
2,4,0.875,0.5,1.0
3,1,1.0,0.7924812503605781,0.0
3,2,1.0,0.7924812503605781,0.5
3,3,0.7777777777777778,0.7924812503605781,0.7924812503605781
3,4,0.6666666666666666,0.7924812503605781,1.0
4,1,1.0,1.0,0.0
4,2,0.875,1.0,0.5
4,3,0.6666666666666666,1.0,0.7924812503605781
4,4,0.5625,1.0,1.0
