k1,k2,S(Add^6 k1 k2),R1,R2
1.0,1.0,1.0,0.0,0.0
1.0,2.0,1.0,0.0,0.16666666666666666
1.0,3.0,1.0,0.0,0.26416041678685936
1.0,4.0,1.0,0.0,0.3333333333333333
1.0,5.0,1.0,0.0,0.3869880158145604
1.0,6.0,1.0,0.0,0.430827083453526
1.0,7.0,1.0,0.0,0.4678924870096007
1.0,8.0,1.0,0.0,0.5
1.0,9.0,1.0,0.0,0.5283208335737187
1.0,10.0,1.0,0.0,0.5536546824812271
1.0,11.0,1.0,0.0,0.5765719364395496
1.0,12.0,1.0,0.0,0.5974937501201928
1.0,13.0,1.0,0.0,0.6167399530235154
1.0,14.0,1.0,0.0,0.6345591536762673
1.0,15.0,1.0,0.0,0.6511484326014197
1.0,16.0,1.0,0.0,0.6666666666666666
1.0,17.0,1.0,0.0,0.6812438068750567
1.0,18.0,1.0,0.0,0.6949875002403854
1.0,19.0,1.0,0.0,0.7079879189072642
1.0,20.0,1.0,0.0,0.7203213491478938
1.0,21.0,1.0,0.0,0.7320529037964602
1.0,22.0,1.0,0.0,0.7432386031062163
1.0,23.0,1.0,0.0,0.7539269926761688
1.0,24.0,1.0,0.0,0.7641604167868595
1.0,25.0,1.0,0.0,0.7739760316291208
1.0,26.0,1.0,0.0,0.7834066196901821
1.0,27.0,1.0,0.0,0.7924812503605781
1.0,28.0,1.0,0.0,0.8012258203429341
1.0,29.0,1.0,0.0,0.8096634991879288
1.0,30.0,1.0,0.0,0.8178150992680865
1.0,31.0,1.0,0.0,0.8256993850644793
1.0,32.0,1.0,0.0,0.8333333333333334
1.0,33.0,1.0,0.0,0.8407323532264089
1.0,34.0,1.0,0.0,0.8479104735417233
1.0,35.0,1.0,0.0,0.8548805028241611
1.0,36.0,1.0,0.0,0.861654166907052
1.0,37.0,1.0,0.0,0.8682422276048251
1.0,38.0,1.0,0.0,0.8746545855739308
1.0,39.0,1.0,0.0,0.8809003698103748
1.0,40.0,1.0,0.0,0.8869880158145604
1.0,41.0,1.0,0.0,0.892925334103014
1.0,42.0,1.0,0.0,0.8987195704631268
1.0,43.0,1.0,0.0,0.9043774591170164
1.0,44.0,1.0,0.0,0.9099052697728828
1.0,45.0,1.0,0.0,0.9153088493882792
1.0,46.0,1.0,0.0,0.9205936593428355
1.0,47.0,1.0,0.0,0.9257648086129396
1.0,48.0,1.0,0.0,0.9308270834535262
1.0,49.0,1.0,0.0,0.9357849740192014
1.0,50.0,1.0,0.0,0.9406426982957874
1.0,51.0,1.0,0.0,0.945404223661916
1.0,52.0,1.0,0.0,0.9500732863568488
1.0,53.0,1.0,0.0,0.9546534090938666
1.0,54.0,1.0,0.0,0.9591479170272448
1.0,55.0,1.0,0.0,0.96355995225411
1.0,56.0,1.0,0.0,0.9678924870096008
1.0,57.0,1.0,0.0,0.9721483356941236
1.0,58.0,1.0,0.0,0.9763301658545952
1.0,59.0,1.0,0.0,0.9804405082269736
1.0,60.0,1.0,0.0,0.9844817659347532
1.0,61.0,1.0,0.0,0.9884562229271476
1.0,62.0,1.0,0.0,0.992366051731146
1.0,63.0,1.0,0.0,0.9962133205833196
1.0,64.0,1.0,0.0,1.0
2.0,1.0,1.0,0.16666666666666666,0.0
2.0,2.0,1.0,0.16666666666666666,0.16666666666666666
2.0,3.0,1.0,0.16666666666666666,0.26416041678685936
2.0,4.0,1.0,0.16666666666666666,0.3333333333333333
2.0,5.0,1.0,0.16666666666666666,0.3869880158145604
2.0,6.0,1.0,0.16666666666666666,0.430827083453526
2.0,7.0,1.0,0.16666666666666666,0.4678924870096007
2.0,8.0,1.0,0.16666666666666666,0.5
2.0,9.0,1.0,0.16666666666666666,0.5283208335737187
2.0,10.0,1.0,0.16666666666666666,0.5536546824812271
2.0,11.0,1.0,0.16666666666666666,0.5765719364395496
2.0,12.0,1.0,0.16666666666666666,0.5974937501201928
2.0,13.0,1.0,0.16666666666666666,0.6167399530235154
2.0,14.0,1.0,0.16666666666666666,0.6345591536762673
2.0,15.0,1.0,0.16666666666666666,0.6511484326014197
2.0,16.0,1.0,0.16666666666666666,0.6666666666666666
2.0,17.0,1.0,0.16666666666666666,0.6812438068750567
2.0,18.0,1.0,0.16666666666666666,0.6949875002403854
2.0,19.0,1.0,0.16666666666666666,0.7079879189072642
2.0,20.0,1.0,0.16666666666666666,0.7203213491478938
2.0,21.0,1.0,0.16666666666666666,0.7320529037964602
2.0,22.0,1.0,0.16666666666666666,0.7432386031062163
2.0,23.0,1.0,0.16666666666666666,0.7539269926761688
2.0,24.0,1.0,0.16666666666666666,0.7641604167868595
2.0,25.0,1.0,0.16666666666666666,0.7739760316291208
2.0,26.0,1.0,0.16666666666666666,0.7834066196901821
