k1,k2,S(Add^4 k1 k2),R1,R2
1,1,0.9999999999999998,0.0,0.0
1,2,1.0,0.0,0.25
1,3,1.0,0.0,0.3962406251802891
1,4,1.0,0.0,0.5
1,5,1.0,0.0,0.5804820237218405
1,6,0.9999999999999999,0.0,0.646240625180289
1,7,1.0,0.0,0.701838730514401
1,8,0.9999999999999999,0.0,0.75
1,9,1.0000000000000002,0.0,0.7924812503605781
1,10,1.0000000000000002,0.0,0.8304820237218407
1,11,1.0,0.0,0.8648579046593244
1,12,0.9999999999999998,0.0,0.8962406251802891
1,13,1.0,0.0,0.925109929535273
1,14,0.9999999999999999,0.0,0.9518387305144009
1,15,0.9999999999999998,0.0,0.9767226489021297
1,16,1.0,0.0,1.0
2,1,1.0,0.25,0.0
2,2,1.0,0.25,0.25
2,3,1.0,0.25,0.3962406251802891
2,4,1.0,0.25,0.5
2,5,1.0,0.25,0.5804820237218405
2,6,0.9999999999999999,0.25,0.646240625180289
2,7,1.0,0.25,0.701838730514401
2,8,1.0,0.25,0.75
2,9,0.9999999999999998,0.25,0.7924812503605781
2,10,1.0,0.25,0.8304820237218407
2,11,1.0,0.25,0.8648579046593244
2,12,1.0,0.25,0.8962406251802891
2,13,1.0000000000000002,0.25,0.925109929535273
2,14,1.0,0.25,0.9518387305144009
2,15,1.0,0.25,0.9767226489021297
2,16,0.9687500000000001,0.25,1.0
3,1,1.0,0.3962406251802891,0.0
3,2,1.0,0.3962406251802891,0.25
3,3,1.0,0.3962406251802891,0.3962406251802891
3,4,0.9999999999999999,0.3962406251802891,0.5
3,5,1.0000000000000002,0.3962406251802891,0.5804820237218405
3,6,1.0,0.3962406251802891,0.646240625180289
3,7,0.9999999999999999,0.3962406251802891,0.701838730514401
3,8,0.9999999999999999,0.3962406251802891,0.75
3,9,1.0,0.3962406251802891,0.7924812503605781
3,10,1.0,0.3962406251802891,0.8304820237218407
3,11,1.0,0.3962406251802891,0.8648579046593244
3,12,0.9999999999999998,0.3962406251802891,0.8962406251802891
3,13,0.9999999999999999,0.3962406251802891,0.925109929535273
3,14,1.0,0.3962406251802891,0.9518387305144009
3,15,0.9333333333333333,0.3962406251802891,0.9767226489021297
3,16,0.8749999999999999,0.3962406251802891,1.0
4,1,1.0,0.5,0.0
4,2,1.0,0.5,0.25
4,3,0.9999999999999999,0.5,0.3962406251802891
4,4,1.0,0.5,0.5
4,5,1.0,0.5,0.5804820237218405
4,6,1.0,0.5,0.646240625180289
4,7,1.0,0.5,0.701838730514401
4,8,1.0,0.5,0.75
4,9,1.0,0.5,0.7924812503605781
4,10,0.9999999999999999,0.5,0.8304820237218407
4,11,0.9999999999999999,0.5,0.8648579046593244
4,12,1.0,0.5,0.8962406251802891
4,13,0.9871794871794874,0.5,0.925109929535273
4,14,0.9321428571428569,0.5,0.9518387305144009
4,15,0.8770833333333332,0.5,0.9767226489021297
4,16,0.828125,0.5,1.0
5,1,1.0,0.5804820237218405,0.0
5,2,1.0,0.5804820237218405,0.25
5,3,1.0000000000000002,0.5804820237218405,0.3962406251802891
5,4,1.0,0.5804820237218405,0.5
5,5,1.0,0.5804820237218405,0.5804820237218405
5,6,0.9999999999999998,0.5804820237218405,0.646240625180289
5,7,1.0,0.5804820237218405,0.701838730514401
5,8,1.0,0.5804820237218405,0.75
5,9,1.0,0.5804820237218405,0.7924812503605781
5,10,0.9999999999999999,0.5804820237218405,0.8304820237218407
5,11,1.0,0.5804820237218405,0.8648579046593244
5,12,0.9607843137254902,0.5804820237218405,0.8962406251802891
5,13,0.8923076923076924,0.5804820237218405,0.925109929535273
5,14,0.8285714285714285,0.5804820237218405,0.9518387305144009
5,15,0.7733333333333334,0.5804820237218405,0.9767226489021297
5,16,0.7250000000000001,0.5804820237218405,1.0
6,1,0.9999999999999999,0.646240625180289,0.0
6,2,0.9999999999999999,0.646240625180289,0.25
6,3,1.0,0.646240625180289,0.3962406251802891
6,4,1.0,0.646240625180289,0.5
6,5,0.9999999999999998,0.646240625180289,0.5804820237218405
6,6,0.9999999999999998,0.646240625180289,0.646240625180289
6,7,1.0,0.646240625180289,0.701838730514401
6,8,1.0,0.646240625180289,0.75
6,9,0.9999999999999999,0.646240625180289,0.7924812503605781
6,10,0.9999999999999999,0.646240625180289,0.8304820237218407
