p,PoA,alpha,App
0.0,1.0,1.0,1.0
0.05,0.9633796342111409,0.9754115099857197,0.7709411912532768
0.1,0.9330969710206909,0.9516258196404048,0.68181561632886
0.15000000000000002,0.9070185179295392,0.9286134904996145,0.6488956583996617
0.2,0.8838285124383218,0.9063462346100909,0.6374222603139239
0.25,0.8624077700583775,0.8847968677143805,0.6336760570631327
0.30000000000000004,0.8425796696200626,0.8639392643942736,0.6325399007476343
0.35000000000000003,0.8243641347361389,0.8437483150893901,0.6322231380253847
0.4,0.807577632411875,0.8241998849109017,0.6321429759206203
0.45,0.7918067207035298,0.805270774173837,0.6321248502050563
0.5,0.7767356461510652,0.7869386805747332,0.6321212605029068
0.55,0.7610568696687589,0.7691821629445696,0.6321206536143577
0.6000000000000001,0.7455275380737872,0.7519806065099559,0.6321205689407507
0.65,0.7306461905859041,0.7353141895984369,0.6321205596283889
0.7000000000000001,0.7163904490282816,0.719163851726558,0.6321205588713148
0.75,0.7025770657631291,0.7035112630119804,0.6321205588298959
0.8,0.6879681610606296,0.688338794853473,0.632120558828577
0.8500000000000001,0.6735863347873432,0.6736294918250275,0.6321205588285577
0.9,0.6593665875239298,0.6593670447326676,0.6321205588285577
0.9500000000000001,0.6455357647846337,0.6455357647847355,0.6321205588285577
1.0,0.6321205588285577,0.6321205588285577,0.6321205588285577
