R1,R2
0.3318698288934108,0.3324250889608699
0.3324244529612753,0.3318704648930054
0.33012416428555125,0.5220105856162339
0.33080616486216813,0.521328585039617
0.33096723234918324,0.6560040174147166
0.33184342423881424,0.6551278255250856
0.33051014436935033,0.7602993028129816
0.3319450366802575,0.7588644105020745
0.3294603162877373,0.8464112692698128
0.3311749479670649,0.8446966375904852
0.3297217942729319,0.9185086301686293
0.3315471615789552,0.916683262862606
0.22458704925129536,0.9117620633623038
0.30363656147109286,0.8327125511425063
0.5210356149572907,0.33105035963131146
0.5219988524712076,0.33008712211739455
0.5196901140006298,0.5215026008296288
0.5216936086122236,0.5194991062180351
0.5191681481775245,0.6571794673492517
0.5216718540919414,0.6546757614348349
0.5195141811100964,0.7613453579497133
0.5223680733150513,0.7584914657447583
0.5199768329947946,0.8464877415571549
0.5239393795612871,0.8425251949906624
0.34234500965820513,0.8365316021625079
0.4817980555911594,0.6970785562295536
0.2546274842099303,0.7132718620209516
0.3386686752237818,0.6292306710071001
0.6550594764129194,0.3317091509834036
0.6567113333833102,0.33005729401301276
0.6550452274055361,0.5212424647229734
0.6578514138357264,0.518436278292783
0.6541447687466819,0.6571344147599272
0.6578647876267838,0.6534143958798253
0.653877529078003,0.7621051524471607
0.6582945143302452,0.7576881671949185
0.48958387129460934,0.7828083019269999
0.592304880946496,0.6800872922751132
0.3608476734817637,0.6930873091363691
0.4862943228068104,0.5676406598113224
0.2759668386761095,0.6571307099050635
0.35298707468459894,0.5801104738965741
0.7594179727034689,0.33142267849105705
0.7603483388311654,0.3304923123633605
0.7584119699900637,0.522692531122975
0.7604913226894617,0.5206131784235769
0.7587075121487072,0.6573390645561195
0.7627660513784268,0.6532805253263999
0.627766835246242,0.7204433815390909
0.7089975213002221,0.6392126954851108
0.48046989546623187,0.5879047864817148
0.5959122019873757,0.472462479960571
0.2943046076324476,0.5791777041868439
0.47327114775638757,0.4002111640629039
0.2414733940367766,0.5221147297710441
0.32358460818076873,0.440003515627052
0.8445041911558995,0.3316181943034085
0.8456126437977929,0.33050974166151503
0.8428463923722258,0.5235310736207375
0.846962351867803,0.5194151141251603
0.6627028299438958,0.6077542415445639
0.7352642270765596,0.5351928444119002
0.4769279882738212,0.601842262792441
0.5563825191219031,0.5223877319443592
0.37097652462668407,0.5253860707793293
0.5171435067244972,0.3792190886815162
0.28807762977441453,0.4893022722076903
0.35363119235481655,0.4237487096272883
0.20595804576730947,0.5192261677519124
0.2521417884311415,0.4730424250880804
0.916766566628356,0.33148579776365317
0.9184552537407185,0.3297971106512907
0.6939941900707605,0.4789661480845259
0.8186377363052227,0.3543226018500637
0.5296775956063093,0.5335970887182251
0.6991283529883039,0.36414633133623053
0.38844308222353635,0.48321870221177826
0.5319352634385585,0.33972652099675615
0.2793996523528334,0.47877746834348217
0.41739910714866874,0.34077801354764686
0.2019777655161596,0.47759154779946605
0.4074442883754453,0.27212502494018037
0.157991291105257,0.5523657790904527
0.2144697040775093,0.4958873661182004
0.8375871284566294,0.29429887213876044
0.8989563009642221,0.23292969963116783
0.5582657903846668,0.4104119035488472
0.6422019284016527,0.3264757655318614
0.462843855717575,0.4765948209435531
0.5298231822250117,0.40961549443611645
0.29925152649253517,0.5367881272593037
0.3751030802035857,0.4609365735482532
0.24586278385643373,0.4183656624528151
0.34608419820064507,0.31814424810860376
0.21743287042699116,0.36513253104302407
0.3145639545876135,0.26800144688240174
0.1934013953327941,0.38245208243917705
0.24684062552286543,0.3290128522491057
