R1,R2
0.2480558899115326,0.9576497647502996
0.2489257267627069,0.9567799278991252
0.3914998266678945,0.9330463617688471
0.3935070780456218,0.9310391103911198
0.4650428530923663,0.8958583962175355
0.4921696585218256,0.8793550430522092
0.4953376278335822,0.8761870737404527
0.5696600726565935,0.8495071321602081
0.5743540440739524,0.8448131607428492
0.6336288441183399,0.8161276215183025
0.6392120751521708,0.8105443904844716
0.6865938684736552,0.7802521756527858
0.692381020335491,0.7744650237909501
0.7331090798662474,0.7391148335031772
0.7396190215428091,0.7326048918266155
0.7745072359207791,0.6923728391698042
0.7801634691040743,0.6867166059865091
0.8118808483341181,0.6380450360495832
0.8165653488228746,0.6333605355608267
0.8456569226677303,0.5736877299213538
0.8496041840741942,0.5697404685148898
0.8755711277397327,0.4958626809659588
0.8792490391772052,0.4921847695284862
0.8956775441683208,0.4651799284689228
0.9306206985405268,0.3940675560390165
0.9325316731290836,0.3921565814504596
0.9566694580571644,0.2491469781313561
0.9573878440373088,0.2484285921512116
